F.year,States,Type,Freq
1868,CA,CBO,1
1869,NA,CBO,0
1870,NA,CBO,0
1871,NA,CBO,0
1872,NA,CBO,0
1873,NA,CBO,0
1874,NA,CBO,0
1875,NA,CBO,0
1876,NA,CBO,0
1877,NA,CBO,0
1878,NA,CBO,0
1879,NA,CBO,0
1880,NA,CBO,0
1881,NA,CBO,0
1882,NA,CBO,0
1883,NA,CBO,0
1884,NA,CBO,0
1885,NA,CBO,0
1886,NA,CBO,0
1887,NA,CBO,0
1888,NA,CBO,0
1889,NA,CBO,0
1890,NA,CBO,0
1891,NA,CBO,0
1892,NA,CBO,0
1893,NA,CBO,0
1894,NA,CBO,0
1895,NA,CBO,0
1896,NA,CBO,0
1897,NA,CBO,0
1898,NA,CBO,0
1899,NA,CBO,0
1900,NA,CBO,0
1901,NA,CBO,0
1902,NA,CBO,0
1903,NA,CBO,0
1904,NA,CBO,0
1905,NA,CBO,0
1906,NA,CBO,0
1907,NA,CBO,0
1908,NA,CBO,0
1909,NA,CBO,0
1910,NA,CBO,0
1911,NA,CBO,0
1912,NA,CBO,0
1913,NA,CBO,0
1914,NA,CBO,0
1915,NA,CBO,0
1916,NA,CBO,0
1917,NA,CBO,0
1918,NA,CBO,0
1919,NA,CBO,0
1920,NA,CBO,0
1921,NA,CBO,0
1922,NA,CBO,0
1923,NA,CBO,0
1924,NA,CBO,0
1925,NA,CBO,0
1926,NA,CBO,0
1927,NA,CBO,0
1928,NA,CBO,0
1929,NA,CBO,0
1930,NA,CBO,0
1931,NA,CBO,0
1932,NA,CBO,0
1933,NA,CBO,0
1934,NA,CBO,0
1935,NA,CBO,0
1936,NA,CBO,0
1937,NA,CBO,0
1938,NA,CBO,0
1939,NA,CBO,0
1940,NA,CBO,0
1941,NA,CBO,0
1942,NA,CBO,0
1943,NA,CBO,0
1944,NA,CBO,0
1945,NA,CBO,0
1946,NA,CBO,0
1947,NA,CBO,0
1948,NA,CBO,0
1949,NA,CBO,0
1950,NA,CBO,0
1951,NA,CBO,0
1952,NA,CBO,0
1953,NA,CBO,0
1954,NA,CBO,0
1955,NA,CBO,0
1956,NA,CBO,0
1957,NA,CBO,0
1958,NA,CBO,0
1959,NA,CBO,0
1960,NA,CBO,0
1961,NA,CBO,0
1962,NA,CBO,0
1963,NA,CBO,0
1964,NA,CBO,0
1965,NY,CBO,1
1966,CA,CBO,1
1967,CA,CBO,1
1967,MA,CBO,1
1968,CA,CBO,2
1969,MA,CBO,1
1970,CA,CBO,1
1971,CA,CBO,2
1971,NY,CBO,1
1972,CA,CBO,3
1972,HI,CBO,1
1972,MA,CBO,2
1972,NY,CBO,1
1972,WA,CBO,1
1973,CA,CBO,1
1973,WA,CBO,1
1974,CA,CBO,4
1975,CA,CBO,3
1975,MA,CBO,1
1975,WA,CBO,2
1976,CA,CBO,4
1976,OH,CBO,1
1977,CA,CBO,3
1977,UT,CBO,1
1978,CA,CBO,2
1978,IL,CBO,1
1978,NY,CBO,1
1979,CA,CBO,1
1979,TX,CBO,1
1980,CA,CBO,1
1980,CO,CBO,1
1981,CA,CBO,1
1981,IL,CBO,1
1982,CA,CBO,1
1982,NY,CBO,1
1983,OR,CBO,1
1983,TX,CBO,1
1984,CA,CBO,1
1984,FL,CBO,1
1984,PA,CBO,1
1984,WI,CBO,1
1985,NA,CBO,0
1986,CA,CBO,2
1986,IN,CBO,1
1986,MN,CBO,1
1986,WA,CBO,1
1987,CA,CBO,4
1987,MA,CBO,1
1987,NY,CBO,1
1988,CA,CBO,3
1989,CA,CBO,8
1989,MD,CBO,1
1989,NY,CBO,2
1990,CA,CBO,1
1990,NY,CBO,1
1990,WA,CBO,1
1991,CA,CBO,3
1992,IL,CBO,2
1992,MA,CBO,1
1992,MN,CBO,1
1992,NE,CBO,1
1992,TX,CBO,1
1993,CA,CBO,1
1993,MA,CBO,1
1993,NY,CBO,1
1993,OR,CBO,1
1994,MA,CBO,1
1994,MI,CBO,1
1994,OR,CBO,1
1994,TX,CBO,2
1995,CA,CBO,1
1995,OH,CBO,1
1995,PA,CBO,1
1995,TX,CBO,1
1996,CA,CBO,1
1996,CT,CBO,1
1996,DC,CBO,2
1996,MN,CBO,1
1996,NY,CBO,1
1996,OH,CBO,2
1997,CA,CBO,3
1997,NY,CBO,1
1997,OR,CBO,1
1997,PA,CBO,1
1998,CA,CBO,3
1998,DC,CBO,1
1998,GA,CBO,1
1998,IL,CBO,1
1998,MT,CBO,1
1998,NY,CBO,1
1998,WA,CBO,1
1999,CA,CBO,1
1999,IN,CBO,1
1999,MA,CBO,1
1999,MD,CBO,1
1999,NY,CBO,1
1999,OR,CBO,1
2000,CA,CBO,5
2000,CO,CBO,1
2000,IL,CBO,1
2000,PA,CBO,1
2001,MA,CBO,2
2001,MD,CBO,1
2002,AZ,CBO,1
2002,IA,CBO,1
2002,OR,CBO,1
2003,CA,CBO,1
2003,DC,CBO,1
2003,IA,CBO,1
2003,IL,CBO,1
2003,WA,CBO,1
2004,CA,CBO,4
2004,GA,CBO,1
2004,IN,CBO,1
2004,MN,CBO,1
2004,NJ,CBO,1
2004,PA,CBO,2
2004,WA,CBO,1
2005,OH,CBO,1
