F.year,States,Type,Freq
1949,CO,CBO,1
1950,NA,CBO,0
1951,NA,CBO,0
1952,NA,CBO,0
1953,NA,CBO,0
1954,NA,CBO,0
1955,NA,CBO,0
1956,NA,CBO,0
1957,NA,CBO,0
1958,NA,CBO,0
1959,IL,CBO,1
1960,NA,CBO,0
1961,DC,CBO,1
1962,WI,CBO,1
1963,CA,CBO,1
1964,AZ,CBO,1
1964,CA,CBO,1
1965,CA,CBO,1
1966,NA,CBO,0
1967,MA,CBO,1
1967,NJ,CBO,1
1967,VA,CBO,1
1968,CT,CBO,1
1968,FL,CBO,1
1968,MA,CBO,1
1968,PA,CBO,1
1969,AZ,CBO,1
1969,CA,CBO,1
1970,CA,CBO,2
1970,IN,CBO,1
1970,TX,CBO,1
1971,CA,CBO,2
1971,CO,CBO,1
1971,IL,CBO,1
1971,MA,CBO,1
1971,NE,CBO,1
1972,CA,CBO,3
1972,CO,CBO,1
1972,CT,CBO,1
1972,GA,CBO,1
1972,IL,CBO,1
1972,NE,CBO,1
1972,NJ,CBO,1
1973,CA,CBO,1
1973,DC,CBO,2
1974,CA,CBO,1
1974,MN,CBO,1
1975,CA,CBO,6
1975,IL,CBO,1
1975,NJ,CBO,1
1975,NV,CBO,1
1975,NY,CBO,1
1976,NJ,CBO,3
1976,PA,CBO,1
1977,CA,CBO,2
1977,FL,CBO,1
1977,IL,CBO,1
1977,NY,CBO,2
1977,PA,CBO,1
1977,RI,CBO,1
1978,CA,CBO,4
1978,CT,CBO,2
1978,MI,CBO,1
1979,MN,CBO,1
1979,TX,CBO,2
1980,CO,CBO,1
1980,MD,CBO,1
1980,NJ,CBO,1
1980,NV,CBO,1
1980,NY,CBO,1
1981,MI,CBO,1
1982,CA,CBO,1
1982,FL,CBO,2
1982,MA,CBO,1
1982,NY,CBO,1
1983,CA,CBO,1
1983,IL,CBO,1
1983,MO,CBO,1
1984,CA,CBO,1
1984,NY,CBO,2
1984,OR,CBO,1
1984,TX,CBO,1
1985,FL,CBO,1
1985,IL,CBO,1
1985,IN,CBO,1
1985,NJ,CBO,1
1985,NY,CBO,1
1985,TX,CBO,1
1986,CA,CBO,1
1986,CT,CBO,1
1986,OR,CBO,1
1986,RI,CBO,1
1987,AR,CBO,1
1987,AZ,CBO,1
1987,DC,CBO,1
1988,CO,CBO,1
1988,FL,CBO,1
1988,IL,CBO,1
1988,PA,CBO,1
1989,AZ,CBO,1
1989,CA,CBO,1
1989,CO,CBO,1
1989,DC,CBO,2
1989,IL,CBO,1
1989,MA,CBO,2
1989,NY,CBO,1
1989,OH,CBO,1
1990,CA,CBO,4
1990,GA,CBO,1
1990,MI,CBO,1
1990,NY,CBO,1
1990,OH,CBO,1
1990,WA,CBO,1
1991,CA,CBO,1
1991,FL,CBO,1
1991,IL,CBO,1
1991,MN,CBO,1
