City_names,States,Santuary_cities,Anti_immigration_ordinances,Municipal_ID,Driver_license,Education_equity,Citizenship_support,Non-citizen_voting,County_ordinances,City_fund,County_fund,Total,County_names,OEO_fund,Total_pop,Black_pop,Asian_pop,Latino_pop,Asian_per,Latino_per,A2B,L2B,election_1980
ANCHORAGE,AK,1,0,0,0,0,0,0,0,22778463,0,22778463,ANCHORAGE,NA,174431,9114,4043,5222,2.317821947,2.993733912,0.4436032478,0.5729646697,NA
JONESBORO,AK,0,0,0,0,0,0,0,0,848535,0,848535,CRAIGHEAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPRINGDALE,AK,0,0,0,0,0,0,0,0,5606000,0,5606000,WASHINGTON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BIRMINGHAM,AL,1,0,0,0,0,0,0,0,132054836,51210030,183264866,JEFFERSON,6.913997173,671324,221788,1715,4475,0.2554653193,0.66659318,0.007732609519,0.02017692571,53.98
HUNTSVILLE,AL,0,0,0,0,0,0,0,0,31799750,0,31799750,MADISON,18.16815758,196966,38721,1508,2086,0.76561437,1.059066032,0.03894527517,0.0538725756,50.11
ROGERS,AR,0,1,0,0,0,0,0,0.04545454545,NA,NA,NA,BENTON,21.17969322,78115,50,245,568,0.3136401459,0.727133073,4.9,11.36,67.1
CONWAY,AR,0,0,0,0,0,0,0,0,605000,0,605000,FAULKNER,55.22535706,46192,3690,77,208,0.1666955317,0.4502944233,0.02086720867,0.05636856369,46.94
CHANDLER,AZ,1,0,0,0,1,0,0,0,0,35985712,35985712,MARICOPA,29.13188744,1509052,47177,13119,199003,0.86935374,13.18728579,0.2780804205,4.218220743,72.54
PHOENIX,AZ,1,0,0,0,1,0,0,0,126996776,35985712,162982488,MARICOPA,29.13188744,1509052,47177,13119,199003,0.86935374,13.18728579,0.2780804205,4.218220743,72.54
TUCSON,AZ,1,0,0,0,1,0,0,0,69625500,8527000,78152500,PIMA,21.91409874,531443,14666,4922,111418,0.92615765,20.96518347,0.3356061639,7.597027138,59.09
CASA GRANDE,AZ,0,0,0,0,1,0,0,0,265050,0,265050,PINAL,39.32290649,90918,2974,305,26752,0.3354671242,29.42431642,0.1025554808,8.995292535,56.98
OAKLAND,CA,1,0,1,1,1,0,0,0,164780099,32691500,197471599,ALAMEDA,19.23813629,1105379,200950,85899,129962,7.770999811,11.7572344,0.4274645434,0.6467379945,44.01
ALAMEDA,CA,1,0,0,1,1,0,0,0,15018450,32691500,47709950,ALAMEDA,19.23813629,1105379,200950,85899,129962,7.770999811,11.7572344,0.4274645434,0.6467379945,44.01
BERKELEY,CA,1,0,0,1,1,0,0,0,43409461,32691500,76100961,ALAMEDA,19.23813629,1105379,200950,85899,129962,7.770999811,11.7572344,0.4274645434,0.6467379945,44.01
FREMONT,CA,1,0,0,1,1,0,0,0,13306800,32691500,45998300,ALAMEDA,19.23813629,1105379,200950,85899,129962,7.770999811,11.7572344,0.4274645434,0.6467379945,44.01
HAYWARD,CA,1,0,0,1,1,0,0,0,14691520,32691500,47383020,ALAMEDA,19.23813629,1105379,200950,85899,129962,7.770999811,11.7572344,0.4274645434,0.6467379945,44.01
