year,presidency,senate,house
1961,1,1,1
1961,1,1,1
1962,1,1,1
1963,1,1,1
1964,1,1,1
1965,1,1,1
1966,1,1,1
1967,1,1,1
1968,1,1,1
1969,0,1,1
1970,0,1,1
1971,0,1,1
1972,0,1,1
1973,0,1,1
1974,0,1,1
1975,0,1,1
1976,0,1,1
1977,1,1,1
1978,1,1,1
1979,1,1,1
1980,1,1,1
1981,0,0,1
1982,0,0,1
1983,0,0,1
1984,0,0,1
1985,0,0,1
1986,0,0,1
1987,0,1,1
1988,0,1,1
1989,0,1,1
1990,0,1,1
1991,0,1,1
1992,0,1,1
1993,1,1,1
1994,1,1,1
1995,1,0,0
1996,1,0,0
1997,1,0,0
1998,1,0,0
1999,1,0,0
2000,1,0,0
2001,0,1,0
2002,0,1,0
2003,0,0,0
2004,0,0,0
2005,0,0,0
2006,0,0,0
2007,0,1,1
2008,0,1,1
2009,1,1,1
2010,1,1,1
2011,1,1,0
2012,1,1,0
2013,1,1,0
2014,1,1,0
2015,1,0,0
2016,1,0,0
2017,0,0,0
 ,,,
 ,,,
