,grantee_num,States,cofips_g,city,grantee_name,address,city_name,grantee_name65
473,40002,AL,3,860,LITTLE RIVER COMMUNITY ACTION PROGRAM,PO BOX 250,DAPHNE,LITTLE RIVER COMMUNITY ACTION PROGRAM
474,40003,AL,45,2380,DISTRICT #24 CAC,PO #1129,OZARK,DISTRICT #24 CAC
477,40016,AL,121,100,COMM IMPRV BD OF CALHOUN & CLEBURNE CNT,PO BOX 1205,ANNISTON,COMM IMPRV BD OF CALHOUN & CLEBURNE CNT
478,40019,AL,21,710,"ELEVENTH AREA OF ALABAMA OAC, INC.",731 SECOND AVE N,CLANTON,"ELEVENTH AREA OF ALABAMA OAC, INC."
479,40028,AL,35,1080,"AID CONECUH, INC.",PO BOX 428,EVERGREEN,"AID CONECUH, INC."
481,40030,AL,51,3270,COOSA-ELMORE CAC INC.,PO DRAWER H,WETUMPKA,COOSA-ELMORE CAC INC.
483,40038,AL,85,1605,"FRIEND, INC.",POST OFFICE BOX 205,HAYNESVILLE,"FRIEND, INC."
484,40039,AL,47,2760,DALLAS COUNTY CITY OF SELMA EOB,PO BOX 980,SELMA,DALLAS COUNTY CITY OF SELMA EOB
486,40053,AL,57,1150,"AID-WEST ALABAMA, INC.",PO BOX 466,FAYETTE,"AID-WEST ALABAMA, INC."
488,40061,AL,73,350,JEFFERSON COUNTY COMMITTEE FOR EO,2308 N 4TH AVE,BIRMINGHAM,JEFFERSON COUNTY COMMITTEE FOR EO
490,40065,AL,77,1200,"COLBERT-LAUDERDALE CAC, INC.",502 E COLLEGE ST,FLORENCE,"COLBERT-LAUDERDALE CAC, INC."
492,40067,AL,81,200,ALABAMA COUNCIL ON HUMAN RELATIONS,PO DWR 1632 114 W GLENN,AUBURN,ALABAMA COUNCIL ON HUMAN RELATIONS
495,40078,AL,87,3070,MACON COUNTY CAC INC.,312 E NORTHSIDE,TUSKEGEE,MACON COUNTY CAC INC.
496,40080,AL,87,3075,TUSKEGEE INSTITUTE,TUSKEGEE CAMPUS,TUSKEGEE ,TUSKEGEE INSTITUTE
497,40084,AL,89,1730,"HUNTSVILLE-MADISON COUNTY CAC, INC.",PO BOX A-F,HUNTSVILLE,"HUNTSVILLE-MADISON COUNTY CAC, INC."
498,40088,AL,93,1540,"MARION COUNTY CAC, INC.",PO DRAWER G,HAMILTON,"MARION COUNTY CAC, INC."
499,40090,AL,97,2100,"MOBILE AREA CAC, INC.",850 ST ANTHONY ST,MOBILE,"MOBILE AREA CAC, INC."
500,40096,AL,101,2130,ALABAMA DEVELOPMENT OFFICE SEOO,3866 S COURT ST,MONTGOMERY,ALABAMA DEVELOPMENT OFFICE SEOO
501,40100,AL,101,2130,MONTGOMERY COMMUNITY ACTION AGENCY,419 MADISON AVE,MONTGOMERY,MONTGOMERY COMMUNITY ACTION AGENCY
502,40103,AL,103,890,MORGAN-LAWRENCE CAC,"304 FERRY ST NE, PO BOX 1210",DECATUR,MORGAN-LAWRENCE CAC
503,40108,AL,107,580,"PICKENS CAC, INC.",PO BOX 348,CARROLLTON,"PICKENS CAC, INC."
505,40117,AL,121,2910,"TALLADEGA-CLAY-RANDOLPH AREA CAC, INC.",PO BOX 268,TALLADEGA,"TALLADEGA-CLAY-RANDOLPH AREA CAC, INC."
506,40120,AL,123,840,CHAMBERS-TALLAPOOSA CAA,CITY HALL,DADEVILLE,CHAMBERS-TALLAPOOSA CAA
507,40125,AL,125,3050,"TUSCALOOSA OPPORTUNITY PROGRAM, INC.",2411 6TH ST,TUSCALOOSA,"TUSCALOOSA OPPORTUNITY PROGRAM, INC."
510,40130,AL,127,1780,"WALKER-WINSTON COUNTY CAC, INC.",PO DRAWER 421,JASPER,"WALKER-WINSTON COUNTY CAC, INC."
594,40381,AL,85,1605,LOWNDES COU BOARD OF HEALTH OEO SPONSOR,POST OFFICE BOX 367,HAYNESVILLE,LOWNDES COU BOARD OF HEALTH OEO SPONSOR
606,40410,AL,69,930,HOUSTON COUNTY COMMUNITY BETTERMENT ASSN,PO BX 284 300 N FOSTER ST,DOTHAN,HOUSTON COUNTY COMMUNITY BETTERMENT ASSN
621,40455,AL,63,1070,GREENE COUNTY COMMISSION OEO,PO BOX 347,EUTAW,GREENE COUNTY COMMISSION OEO
627,40462,AL,89,1730,LEGAL AID SOCIETY OF MADISON COUNTY,2500 BRAHAN AVE S W,HUNTSVILLE,LEGAL AID SOCIETY OF MADISON COUNTY
665,40542,AL,109,3040,ORGANIZED COMMUNITY ACTION PROGRAM INC,PO BOX 333,TROY,ORGANIZED COMMUNITY ACTION PROGRAM INC
732,40839,AL,87,3075,SOUTHEAST ALABAMA SELF-HELP ASSOCIATION,POST OFFICE DRAWER 1080,TUSKEGEE INSTITUTE,
745,40923,AL,47,2760,SOUTHWEST ALABAMA FARMERS CO-OP ASSO,1315 B JEFF DAVIS AVE PO BX955,SELMA,SOUTHWEST ALABAMA FARMERS CO-OP ASSO
7,7,AK,20,130,COMM ENTERPRISE DEV CORP OF ALASKA,503 W NORTHERN LIGHTS BLVD,ANCHORAGE,
21,135,AK,20,130,ALASKA TECHNICAL AND PLANNING CNTR INC,528 FIFTH AVE SUITE 9,ANCHORAGE,
68,919,AK,20,130,RURAL ALASKA COMMUNITY ACTION PROG INC,DRAWER 412 ECB,ANCHORAGE,
69,924,AK,17,130,GREATER ANCHORAGE AREA CAC,P. O. BOX 1886,ANCHORAGE,
70,927,AK,190,1600,METLAKATLA INDIAN COMMUNITY,P O BOX 8,METLAKATLA,
71,933,AK,110,1130,DIVISION OF STATE ECONOMIC OPPORTUNITY,POUCH B,JUNEAU,
72,1190,AK,20,130,ALASKA VILLAGE ELECTRIC COOPERATIVE,999 EAST TUDOR ROAD,ANCHORAGE,
73,1240,AK,90,770,GREATER FAIRBANKS HEAD START ASSOC INC,1550 GILLAM AVE,FAIRBANKS,
74,1248,AK,20,130,ALASKA FEDERATION OF NATIVES,1675 C STREET,ANCHORAGE,
76,1254,AK,90,770,FAIRBANKS NATIVE ASSOC INC,102 LACEY STREET,FAIRBANKS,
1343,90001,AZ,13,370,FOOD FOR ALL INC,2875 E SKY HARBOR BLVD STE 201,PHOENIX,FOOD FOR ALL INC
1345,90005,AZ,1,183,OFFICE OF NAVAJO ECONOMIC OPPORTUNITY,P O BOX 589,FORT DEFIANCE,OFFICE OF NAVAJO ECONOMIC OPPORTUNITY
1348,90015,AZ,5,485,HAVASUPAI TRIBE,GENERAL DELIVERY,SUPAI,HAVASUPAI TRIBE
1350,90020,AZ,5,170,NORTHERN ARIZONA COUNCIL OF GOVERNMENTS,"119 E ASPEN, PO BOX 57",FLAGSTAFF,NORTHERN ARIZONA COUNCIL OF GOVERNMENTS
1351,90021,AZ,13,370,MIGRANTOPPORTUNITY PROGRAM,1517 S.BLACK CANYON HGWY,PHOENIX,MIGRANTOPPORTUNITY PROGRAM
1352,90022,AZ,13,370,STATE OF ARIZONA DEPT OF ECON SECURITY,1717 WEST JEFFERSON STREET,PHOENIX,STATE OF ARIZONA DEPT OF ECON SECURITY
1353,90026,AZ,1,278,NAVAJO COMMUNITY COLLEGE,,MANY FARMS,NAVAJO COMMUNITY COLLEGE
1355,90030,AZ,21,370,ARIZONA JOB COLLEGES INC,1659 NORTH PINAL AVENUE,CASA GRANDE,ARIZONA JOB COLLEGES INC
1358,90034,AZ,13,490,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,TEMPE,ARIZONA STATE UNIVERSITY
1359,90036,AZ,13,370,GUADALUPE ORGANIZATION,8801 SOUTH 56TH STREET,GUADALUPE,GUADALUPE ORGANIZATION
1362,90040,AZ,13,370,MARICOPA COUNTY COM ACTION AGENCY,4645 E WASHINGTON,PHOENIX,MARICOPA COUNTY COM ACTION AGENCY
1363,90044,AZ,13,370,LEAP - CITY OF PHOENIX,302 W WASHINGTON,PHOENIX,LEAP - CITY OF PHOENIX
1370,90059,AZ,15,366,HUALAPI TRIBAL COUNCIL,BOX 168,PEACH SPRINGS,HUALAPI TRIBAL COUNCIL
1374,90064,AZ,17,333,HOPI TRIBAL COUNCIL,PO BOX 123,ORAIBI,HOPI TRIBAL COUNCIL
1375,90066,AZ,17,565,WHITE MOUNTAIN APACHE TRIBE,BOX 708,WHITERIVER,WHITE MOUNTAIN APACHE TRIBE
1381,90074,AZ,19,530,"COMMITTEE FOR ECONOMIC OPPORTUNITY, INC.",2555 N STONE AVE,TUCSON,"COMMITTEE FOR ECONOMIC OPPORTUNITY, INC."
1385,90078,AZ,19,425,PAPAGO TRIBE OF ARIZONA,P O BOX 278,SELLS,PAPAGO TRIBE OF ARIZONA
1386,90080,AZ,13,490,NATAL INDIAN TRG AND RESEARCH CENTER,2121 S MILL AVENUE 107,TEMPE,NATAL INDIAN TRG AND RESEARCH CENTER
1390,90086,AZ,13,490,TEMPE COMMUNITY ACTION AGENCY,CITY OF TEMPE,TEMPE,TEMPE COMMUNITY ACTION AGENCY
1395,90095,AZ,21,110,"PINAL/GILA CMM ACTION PROGRAMS, INC.",PO BOX 1268,COOLIDGE,"PINAL/GILA CMM ACTION PROGRAMS, INC."
1398,90098,AZ,21,405,GILA RIVER INDIAN COMMUNITY,BOX 97,SACATON,GILA RIVER INDIAN COMMUNITY
