Name,F.year,Incorporated,Panethnic,Address,Source,Website1,Website2,Website3,Contacted,Contact Info,Panethnic notes
American Chinese Christian Educational & Social Services Inc,1990,0,0,"244 Harrison Avenue Boston, MA 02111",National Directory of Nonprofit Organizations,http://www.chinatownaccess.org,,,,,
Association for Chinese Families of the Disabled,1984,0,0,"378 18th Avenue San Francisco, CA 94121",National Directory of Nonprofit Organizations,http://www.acfd-ca.org/index.html,,,,,
Boston Chinatown Neighborhood Center,1969,0,1,"885 Washington Street, Boston, MA 02111",National Directory of Nonprofit Organizations,https://bcnc.net/,,,,,"""Boston Chinatown Neighborhood Center (BCNC) responds to community needs by delivering holistic, family-centered, and culturally competent programs. Founded in 1969, BCNC is the largest nonprofit social service provider for Asian American and Asian immigrant families in the Greater Boston Area, supporting over 2,000 children, youth, and adults each year at three locations in Boston and Quincy."""
Brooklyn Chinese-American Association,1987,0,1,"5000 8th Avenue, Brooklyn, NY 11220",,http://www.bca.net/eng/home.html,,,,,
Chinatown Alleyway Improvement Association,1984,0,0,"1525 Grant Avenue, San Francisco, CA 94113",National Directory of Nonprofit Organizations,http://www.chineseamericancf.org/organizations/chinatown-alleyway-improvement-association/,,,,,
Chinatown Community Children's Center,1971,1,1,"979 Clay Street, San Francisco, CA 94108",National Directory of Nonprofit Organizations,http://www.childrencenter.org,,,,,
Chinatown Community Development Center,1977,0,1,1525 Grant Avenue San Francisco CA 94133,National Directory of Nonprofit Organizations,https://www.chinatowncdc.org,,,,,
Chinatown Day Care Center,1975,0,0,"35 Division Street, New York, NY 10002",National Directory of Nonprofit Organizations,https://www.ccbanyc.org/daycare/,,,,,
Chinatown Youth Center,1970,0,1,,,,,,,,
Chinatown Youth Center Initiative,2011,0,1,,,,,,,,
Chinatown Improvement District,2008,0,1,"P.O. Box 37764 Honolulu, HI 96837",National Directory of Nonprofit Organizations,https://www.cidchinatownhawaii.org/home.html,,,yes,chinatownimprovementdistrict@gmail.com,
Chinatown International District Business Improvement Area,1995,0,0,"409B Maynard Ave South Seattle, WA 98104",National Directory of Nonprofit Organizations,http://cidbia.org,,,xxx,,
Chinatown Main Street,2004,1,0,"2 Boylston Street, Suite 108 Boston, MA 02116",National Directory of Nonprofit Organizations,http://521436066492055280.weebly.com,,,yes,through website,Community development = panethnic if just Chinatown?
Chinatown Manpower Project,1972,0,0,"70 Mulberry Street, 3rd FL, New York, NY 10013",National Directory of Nonprofit Organizations,https://www.cmpny.org,,,,,"""Unveiled in 2018, the new logo uses strict visual cue to launch CMP toward greater ethnic diversity"""
Chinatown Partnership Local Development Corporation,2006,0,0,"217 Park Row 2nd Floor - Suite 9 New York, NY 10038",National Directory of Nonprofit Organizations,http://www.chinatownpartnership.org,,,,,
Chinatown Planning Council Housing Development Fund Company ,1965,0,0,"150 Elizabeth St. New York, NY 10012",National Directory of Nonprofit Organizations,https://www.cpc-nyc.org,,,,,"""Founded in 1965, the Chinese-American Planning Council, Inc. (CPC) aims to promote the social and economic empowerment of Chinese American, immigrant, and low-income communities. Today, CPC is the nation's largest Asian American social services organization and strives to be the premier social service and leadership development organization. """
Chinatown Public Safety Association,2011,0,0,"823 N Hill St, Los Angeles, CA 90012",National Directory of Nonprofit Organizations,cpsala.org,https://www.manta.com/c/mr558yy/chinatown-public-safety-association,,,,
Chinatown Service Center,1971,0,0,"767 N. Hill Street, Suite 400, Los, Angeles, CA 90012",National Directory of Nonprofit Organizations,http://www.cscla.org,,,,,"""Over the next decade, additional needs arose in the community. First, there was a marked proliferation in number of Southeast Asian immigrants and refugees -- Cambodian and Vietnamese. Second, the geographical service area expanded dramatically -- eastward into adjacent Monterey Park, Alhambra, and the San Gabriel Valley. CSC responded by expanding our staff and providing services far beyond the borders of Chinatown."""
Chinatown Youth Initiatives,1999,0,1,"New York, NY 10013-0980 USA",National Directory of Nonprofit Organizations,https://cyinyc.org,,,,,"""The mission of Chinatown Youth Initiatives (CYI) is to empower New York City youth with the knowledge and skills necessary to address the needs of Chinatown, Asian Americans, and other underrepresented communities."""
Chinese Health Service Center of Houston,1984,1,0,"10303 Westoffice Dr, Houston, TX 77042, United States",National Directory of Nonprofit Organizations,http://www.cshsc.org/home.html,,,,832-582-1524,
Chinese American Coalition for Compassionate Care,2005,0,0,"P.O. Box 276, Cupertino, CA 95015",National Directory of Nonprofit Organizations,http://caccc-usa.org/en/aboutus.html,,,,,
Chinese American Community Health Services,2017,1,0,,National Directory of Nonprofit Organizations,https://www.guidestar.org/profile/81-1699154,,,,,
Chinese American Cooperation Council,2003,0,0,"PO Box 12028 Pleasanton, CA 94588",National Directory of Nonprofit Organizations,,,,,,
Chinese American Counseling Service,2005,0,0,"P.O. Box 263 Cupertino, CA 95015",National Directory of Nonprofit Organizations,http://directory.chinesecounseling.org/en/about,,,,,
Chinese American Mutual Association,2016,1,0,"980 Roosevelt, Irvine, CA 92620",National Directory of Nonprofit Organizations,https://www.camaus.org,,,yes,via website,
Chinese American Senior Services Association ,2005,0,0,12320 Parklawn Dr. Rockville MD 20852,National Directory of Nonprofit Organizations,https://cassaseniors.org/En-welcom.php,,,,,
Chinese American Service League ,1978,0,0,"2141 South Tan Court Chicago, IL 60616",National Directory of Nonprofit Organizations,https://www.caslservice.org,,,yes,media@caslservice.org,
Chinese American Social Services Center ,2015,1,0,"124 Avenue O Brooklyn, New York 11204",National Directory of Nonprofit Organizations,https://www.facebook.com/casscenter/,,,,,
