Grantmaker Name,Grantmaker State,Recipient Name,Recipient City,Recipient State/Country,Year Authorized,Grant Amount,Support Strategies,Description,Fund_type,Type
"Central Indiana Community Foundation, Inc.",IN,Asian American Alliance,Carmel,IN,2004,2507,,,Community,Service
"Central Indiana Community Foundation, Inc.",IN,Asian American Alliance,Carmel,IN,2003,2000,,,Community,Service
Eli Lilly and Company Foundation,IN,Asian American Alliance,Carmel,IN,2011,20000,General support;,For general operating support,Private,Service
Eli Lilly and Company Foundation,IN,Asian American Alliance,Carmel,IN,2006,12000,Program development; Convening;,For Asian Pacific Heritage Educational outreach and Asian American Youth forum,Private,Service
Eli Lilly and Company Foundation,IN,Asian American Alliance,Carmel,IN,2005,10000,Convening;Program development;,To plan and implement Asian Pacific American Heritage Celebration and Asian American Youth Forum,Private,Service
Lilly Endowment Inc.,IN,Asian American Alliance,Carmel,IN,2006,50000,Pilot programs;,For Chinese Visiting Teacher Pilot Program,Private,Service
Lumina Foundation,IN,Asian American Alliance,Carmel,IN,2012,1500,Program development;,For the 2012 events,Private,Service
The Allstate Foundation,IL,Asian American Alliance,Carmel,IN,2006,500,General support;,For operating support,Private,Service
"The Bank of America Charitable Foundation, Inc.",NC,Asian American Alliance,Carmel,IN,2014,400,General support; Program development;,Program/operating support,Private,Service
Macy's Foundation,OH,Asian American Cancer Support Network,Sunnyvale,CA,2012,2000,Program development;,For AACSN Care Basket Program,Private,Service
Silicon Valley Community Foundation,CA,Asian American Center of Santa Clara County,San Jose,CA,2012,4000,,,Community,Service
Silicon Valley Community Foundation,CA,Asian American Center of Santa Clara County,San Jose,CA,2012,5600,,,Community,Service
Silicon Valley Community Foundation,CA,Asian American Center of Santa Clara County,San Jose,CA,2011,5400,Program development;,For the City of SJ Energy Watch program,Community,Service
Silicon Valley Community Foundation,CA,Asian American Center of Santa Clara County,San Jose,CA,2010,7000,,For Don't Be Afraid - Make Yourself Count!,Community,Service
AmazonSmile Foundation,WA,Asian American Christian Counseling Service,Alhambra,CA,2014,10,General support;,General support,Private,Service
