Grantmaker Name,Grantmaker State,Recipient Name,Recipient City,Recipient State/Country,Year Authorized,Grant Amount,Support Strategies,Description,Fund_type,Type
"Aetna Foundation, Inc.",CT,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2009,25000,Program development; Public engagement and education;,For ACLAMO Conexiones por Salud Health Literacy Project,Private,Service
Citizens Charitable Foundation,,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2010,5000,General support;,For general charitable purpose,Private,Service
Connelly Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2011,20000,Program development;,For support over 2 years toward ESL Family Literacy Program for 20 Spanish-speaking preschoolers and parents to prepare children and parents to enter and succeed in public school by helping them acquire English/encourage reading together,Private,Service
Connelly Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2009,7000,General support;,For general operating support toward literacy programs and services for latino families in Montgomery County,Private,Service
Connelly Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2007,5000,,"For ACLAMO's ESL Family Literacy Program, which has helped low-income English learning children and adults over last 5 years and needs to expand due to growing needs of such programs",Private,Service
Exelon Foundation,IL,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2014,270,,,Private,Service
First Niagara Foundation,NY,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2015,1000,,Health &amp; human services,Private,Service
First Niagara Foundation,NY,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2012,2500,,,Private,Service
Genuardi Family Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2014,7000,General support;,,Private,Service
"Hess Foundation, Inc.",NJ,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2013,25000,General support;,For unrestricted support,Private,Service
Pottstown Area Health & Wellness Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2010,34500,Program development;,For Conexiones por Salud - Community Health Projects,Private,Service
