Grantmaker.Name,Grantmaker.State,Recipient.Name,Recipient.City,Recipient.State.Country,Year.Authorized,Grant.Amount,Grantmaker.Type,Recipient.Type
Aetna Foundation,CT,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2009,25000,Foundation,CBO
Citizens Charitable Foundation,,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2010,5000,Foundation,CBO
Connelly Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2011,20000,Foundation,CBO
Connelly Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2009,7000,Foundation,CBO
Connelly Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2007,5000,Foundation,CBO
Exelon Foundation,IL,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2014,270,Foundation,CBO
First Niagara Foundation,NY,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2015,1000,Foundation,CBO
First Niagara Foundation,NY,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2012,2500,Foundation,CBO
Genuardi Family Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2014,7000,Foundation,CBO
Hess Foundation,NJ,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2013,25000,Foundation,CBO
Pottstown Area Health & Wellness Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2010,34500,Foundation,CBO
Pottstown Area Health & Wellness Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2009,40000,Foundation,CBO
Pottstown Area Health & Wellness Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2009,50000,Foundation,CBO
Pottstown Area Health & Wellness Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2007,50000,Foundation,CBO
Pottstown Area Health & Wellness Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2006,25000,Foundation,CBO
Pottstown Area Health & Wellness Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2005,50000,Foundation,CBO
TD Charitable Foundation,ME,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2016,5000,Foundation,CBO
TD Charitable Foundation,ME,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2015,5000,Foundation,CBO
TD Charitable Foundation,ME,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2013,6000,Foundation,CBO
TD Charitable Foundation,ME,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2010,2500,Foundation,CBO
TD Charitable Foundation,ME,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2008,2000,Foundation,CBO
The Arcadia Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2016,50000,Foundation,CBO
The Arcadia Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2015,20000,Foundation,CBO
The Arcadia Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2013,75000,Foundation,CBO
The Arcadia Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2005,25000,Foundation,CBO
The Comcast Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2013,14750,Foundation,CBO
The Comcast Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2013,3500,Foundation,CBO
The Comcast Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2011,1869,Foundation,CBO
The Comcast Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2011,20000,Foundation,CBO
The Dow Chemical Company Foundation,MI,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2014,15000,Foundation,CBO
The Philadelphia Fund,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2014,6367,Foundation,CBO
The Philadelphia Fund,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2011,40000,Foundation,CBO
The Philadelphia Fund,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2006,15000,Foundation,CBO
The Philadelphia Fund,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2005,15000,Foundation,CBO
The Philadelphia Fund,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2004,15000,Foundation,CBO
The PNC Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2012,10000,Foundation,CBO
The PNC Foundation,PA,Accion Comunal Latino Americano de Montgomery County,Norristown,PA,2003,10000,Foundation,CBO
Ford Foundation,NY,Accion Latina,San Francisco,CA,2008,25000,Foundation,Advocacy
The Freedom Forum,DC,Accion Latina,San Francisco,CA,2007,5000,Foundation,Advocacy
The PG&E Corporation Foundation,CA,Accion Latina,San Francisco,CA,2009,2000,Foundation,Advocacy
The San Francisco Foundation,CA,Accion Latina,San Francisco,CA,2010,9250,Foundation,Advocacy
The San Francisco Foundation,CA,Accion Latina,San Francisco,CA,2009,15000,Foundation,Advocacy
