Name,F.year,Address,States,City,County,Type
Latino Education Task Force,2014,"7008 ARROYO DEL OSO AVE NE ALBUQUERQUE, NM 87109 ",NM,ALBUQUERQUE,BERNALILLO,Hybrid
Latino Sustainability Institute,2010,"500 COPPER AVE NW STE 103 ALBUQUERQUE, NM 87102",NM,ALBUQUERQUE,BERNALILLO,Advocacy
New Mexico Alliance For Hispanic Education,1993,"Albuquerque, NM 87199-3656",NM,ALBUQUERQUE,BERNALILLO,CBO
Hispanic Institute For Blindness Prevention,2011,"6911 Richmond Hwy Alexandria, VA 22306-1842",VA,ALEXANDRIA,ALEXANDRIA,CBO
National Hispanic Environmental Council,1996,"106 N Fayette St, Alexandria, VA 22314",VA,ALEXANDRIA,ALEXANDRIA,Advocacy
Alhambra Latino Association,1995,,CA,ALHAMBRA,LOS ANGELES,CBO
Chicano A Latino A Educational Foundation,2012,,CA,ALHAMBRA,LOS ANGELES,CBO
Hispanic American Organization,1976,,PA,ALLENTOWN,LEHIGH,CBO
Hispanic Health Coalition of Georgia,1990,"11175 Cicero Dr Ste 100 Alpharetta, GA 30022-11",GA,ALPHARETTA,FULTON,Hybrid
Hispanic Affairs Council of Alaska,2007,,AK,ANCHORAGE,ANCHORAGE,CBO
Mi Raza Community Center,2004,"113 Collins Street, Arcola, IL 61910",IL,ARCOLA,DOUGLAS,CBO
Latino Behavioral Health Institute,1996,"9820 Woodman Ave Arleta, CA 91331-5047 ",CA,ARLETA,LOS ANGELES,CBO
National Alliance For Hispanic Families,2014,"Arlington, VA 22204-8408",VA,ARLINGTON,ARLINGTON,Hybrid
North Texas Young Latino Leaders,2015,"2602 HOLLYWOOD DR ARLINGTON, TX 76013",TX,ARLINGTON,TARRANT,CBO
Hispanic Affairs and Resource Center of Monmouth County,1980,"913 Sewall Ave, Asbury Park, NJ 07712",NJ,ASBURY PARK,MONMOUTH,CBO
Coalicion Latina del Condado de Randolph,2004,"Asheboro, NC 27204",NC,ASHEBORO,RANDOLPH,CBO
Lower Columbia Hispanic Council,1998,"Astoria, OR 97103-1029",OR,ASTORIA,CLATSOP,Hybrid
Athens Latino Center For Education And Services,2010,"445 Huntington Road, Athens, GA 30606",GA,ATHENS,CLARKE,CBO
GALEO Latino Community Development Fund,2005,"Atlanta, GA 30359-0506",GA,ATLANTA,FULTON,Hybrid
Georgia Latino Alliance for Human Rights,2001,"7 Dunwoody Park #110, Atlanta, GA 30341",GA,ATLANTA,FULTON,Hybrid
Latin American Association,1972,"2750 Buford Hwy. Atlanta, GA 30324",GA,ATLANTA,FULTON,CBO
Latino Leadership Council,2007,2945 Bell Road 274 Auburn CA 95603-2540,CA,AUBURN,PLACER,CBO
Asociacion Latina De Servicios Del Csra,2005,"Augusta, GA 30903-0599",GA,AUGUSTA,RICHMOND,CBO
American GI Forum,1948,"1000 Brazos St Suite 200 Austin, TX 78701",TX,AUSTIN,TRAVIS,Hybrid
Austin Latino A Lesbian and Gay Organization,1985,"701 Tillery St, Austin, TX 78702",TX,AUSTIN,TRAVIS,Advocacy
Board of Hispanic Caucus Chairs,2002,,TX,AUSTIN,TRAVIS,Advocacy
Latina Mami,2000,"1806 West Stassney Lane, Austin, Texas",TX,AUSTIN,TRAVIS,Hybrid
Latino Healthcare Forum,2010,"6601 Felix Ave Austin, TX 78741-2408",TX,AUSTIN,TRAVIS,CBO
Mexican American Legislative Policy Council,1995,202 W 13th st Austin TX 78701,TX,AUSTIN,TRAVIS,Advocacy
MI Tierra Es Latina,2003,,TX,AUSTIN,TRAVIS,CBO
Texas Latino Council of the Deaf and Hard of Hearing,2005,,TX,AUSTIN,TRAVIS,CBO
Kern County Hispanic Commission On Alcohol And Drug Abuse Services,2003,1400 Easton Dr Ste 151 Bakerfield CA 93309-9406,CA,BAKERSFIELD,KERN,CBO
Latina Leaders of Kern County,1998,,CA,BAKERSFIELD,KERN,CBO
Latino Coalition for Community Leadership,2003,"901 Sacramento St Bakerfiled, CA 93305-4243",CO,BAKERSFIELD,KERN,CBO
Latino Interactive Voter Education Project,2014,,CA,BAKERSFIELD,KERN,Advocacy
Education Based Latino Outreach,1980,"606 S Ann St, Baltimore, MD 21231",MD,BALTIMORE,BALTIMORE,CBO
Latino Providers Network,1992,"149 N Luzerne Ave Baltimore, MD 21224-1148 ",MD,BALTIMORE,BALTIMORE,Hybrid
Us Hispanic Youth Entrepreneurship and Education Foundation,2006,"601 Alluvion St Baltimore, MD 21230-2035",MD,BALTIMORE,BALTIMORE,CBO
Hispanic Community Advisory Committee,2014,,IN,BATESVILLE,FRANKLIN,CBO
Alianza Latina,2015,,LA,BATON ROUGE,EAST BATON ROUGE PARISH,CBO
Latino Service Providers Coalition,2004,"417 Harrison Ave, Beloit, WI 53511",WI,BELOIT,ROCK,CBO
Central Oregon Latino Scholarship Fund,2012,"2429 NW DORION WAY, BEND OR 97701-7051",OR,BEND,DESCHUTES,CBO
Latino Community Association,2000,,OR,BEND,DESCHUTES,CBO
Latino Issues Forum,1987,"1918 University Avenue, Suite 3D, Berkeley, CA 94704",CA,BERKELEY,ALAMEDA,Advocacy
Hispanic Center Lehigh Valley,1968,"520 E 4th St, Bethlehem, PA 18015",PA,BETHLEHEM,NORTHAMPTON,CBO
Latino Donor Collaborative,2010,2129 Coldwater Canyon Dr Beverly Hills CA 90210-1734,CA,BEVERLY HILLS,LOS ANGELES,CBO
Hispanic Interest Coalition of Alabama,1999,"117 Southcrest Drive Birmingham, AL 35219-0000",AL,BIRMINGHAM,JEFFERSON,CBO
Latino Coalition of Southwest Ohio,2016,"10979 REED HARTMAN HWY STE 110 BLUE ASH, OH 45242 ",OH,BLUE ASH,HAMILTON,CBO
Latino Health Institute,1989,95 Berkeley St Ste 600 Boston Ma 02116-6264,MA,BOSTON,SUFFOLK,CBO
Latino STEM Alliance,2010,20 Moraine St Boston MA 02130-4316,MA,BOSTON,SUFFOLK,CBO
NAMI Latino Metro Boston,1982,"529 Main St #1M17, Boston, MA 02129",MA,BOSTON,SUFFOLK,CBO
Latino Leadership Alliance of Bucks County,1993,"Bristol, PA 19007",PA,BRISTOL,BUCKS,CBO
Institute for the Puerto Rican Hispanic Elderly,1980,"311 E 175TH ST, BRONX, NY 10457",NY,BRONX,BRONX,CBO
Latina 50 Plus,2015,,NY,BRONX,BRONX,CBO
Latino Alzheimers Coalition of New York,2015,"190 SURF DR BRONX, NY 10473",NY,BRONX,BRONX,CBO
Hispanic Forum of Bryan-College Station,2009,"Bryan, TX 77805-4690",TX,BRYAN,BRAZOS,CBO
Latino Housing Development Corporation,2008,"2344 SENECA ST BUFFALO, NY 14210",NY,BUFFALO,ERIE,CBO
Chicana Foundation of Northern California,1984,,CA,BURLINGAME,SAN MATEO,CBO
Hispanic Family Center of Southern New Jersey,1976,"3547 South 29th Street, Camden, NJ 08105-0000",NJ,CAMDEN,CAMDEN,CBO
Latino Literacy Now,1996,"Edward James Olmos, 3445 Catalina Drive, Carlsbad CA 92010-2856",CA,CARLSBAD,SAN DIEGO,CBO
El Centro Hispano,1992,"201 W. WEAVER STREET CARRBORO, NC 27510",NC,CARRBORO,ORANGE,CBO
Latino Familia Initiative,2014,,AZ,CASA GRANDE,PINAL,CBO
Hispanic Health Initiatives,2000,"201 Live Oaks Blvd, Casselberry, FL 32707",FL,CASSELBERRY,SEMINOLE,Hybrid
Latina Surge,2015,,NJ,CEDAR GROVE,ESSEX,Advocacy
Progresso Latino,1977,,RI,CENTRAL FALLS,PROVIDENCE,CBO
Hispanic Latino Community Resource Center,1998,"3601 Central Ave, Charlotte, NC 28204",NC,CHARLOTTE,MECKLENBURG,CBO
Latin American Working for Achievement,1992,"Charlotte, NC 28271",NC,CHARLOTTE,MECKLENBURG,CBO
Centro Latino,1989,"136 Hawthorne Street, Chelsea, MA 02150-0000",MA,CHELSEA,SUFFOLK,CBO
Alianza Americas,2004,"1638 S. Blue Island Ave. Chicago, IL 60608",IL,CHICAGO,COOK,Advocacy
Asociacion Latina De Asistencia Y Prevencion Del Cancer De Mama,2012,"3023 N Clark St Ste 613 Chicago, IL 60657",IL,CHICAGO,COOK,CBO
Association of Latino Men for Action,2000,,IL,CHICAGO,COOK,Advocacy
Center Home for Hispanic Elderly,1983,"1401 N California Ave, Chicago, IL 60622",IL,CHICAGO,COOK,CBO
Chicago City Council Latino Caucus,2016,,IL,CHICAGO,COOK,Advocacy
Chicago Hispanic Health Coalition,1991,"1819 W Polk St 246 Chicago, IL 60612-0000",IL,CHICAGO,COOK,CBO
Hispanic Housing Development Corporation,1975,"325 N Wells St 8th Floor Chicago, IL 60652-7023",IL,CHICAGO,COOK,CBO
Hispanic Management Organization,1988,"2755 W Armitage Ave Chicago, IL 60647-4244",IL,CHICAGO,COOK,CBO
Illinois Legislative Latino Caucus Foundation,2002,191 N Wacker Dr Ste 3700 Chicago IL 60606-1615,IL,CHICAGO,COOK,Advocacy
Instituto del Progreso Latino,1977,"2520 S. Western Ave. Chicago, IL 60608-4809",IL,CHICAGO,COOK,CBO
Latino Coalition for Prevention,2007,"4145 W ARMITAGE AVE CHICAGO , IL 60639 ",IL,CHICAGO,COOK,CBO
Latino Education Alliance,2001,"703 S Morgan St, Chicago, IL 60607",IL,CHICAGO,COOK,CBO
Latino Organization of the Southwest,1992,"4051 W 63rd St Chicago, IL 60629-4638",IL,CHICAGO,COOK,CBO
Latino Policy Forum,1988,180 N Michigan Ave Ste 1250 Chicago IL 60601-7464,IL,CHICAGO,COOK,Advocacy
Latino Resource Institute of Illinois,1959,"8910 S Commercial Ave, Chicago, IL 60617",IL,CHICAGO,COOK,CBO
Midwest Latino Health Research Training and Policy,1993,,IL,CHICAGO,COOK,CBO
National Latino Education Institute,1972,"2011 W Pershing Rd Chicago, IL 60609-2205",IL,CHICAGO,COOK,CBO
Salud Latina/Latino Health,1989,"53 W. Jackson Boulevard, Suite 1257, Chicago, IL 60604-4174",IL,CHICAGO,COOK,CBO
Hispanic Association of Proffessional Services,1995,,CA,CHULA VISTA,SAN DIEGO,CBO
National Image,1971,"374 East H St Ste A, PMB 419. Chula Vista, California 91913",CA,CHULA VISTA,SAN DIEGO,Advocacy
Greater Cincinnati Latino Coalition,2005,,OH,CINCINNATI,HAMILTON,CBO
Hispanic Roundtable Community Programs,2004,"1900 East Ninth Street, Suite 3200 Cleveland, OH 44114",OH,CLEVELAND,CUYAHOGA,CBO
Hispanic Urban Minority Alcoholism and Drug Abuse Outreach Program,1989,"3305 W 25th St Cleveland, OH 44109-1613",OH,CLEVELAND,CUYAHOGA,CBO
Fundacion Proyecto Latino,2011,,NJ,CLIFTON,PASSAIC,CBO
National Latino Behavioral Health Association,2000,"6555 Robin St Cochiti Lake, NM 87083-6025",NM,COCHITI LAKE,SANDOVAL,CBO
Latino American Health Network,2002,,CO,COLORADO SPRINGS,EL PASO,CBO
Centro Comunitario Latino,2011,,CA,COLTON,SAN BERNARDINO,CBO
Centro Latino de Salud Educacion Y Cultura,2001,"609 N Garth Ave, Columbia, MO 65203",MO,COLUMBIA,BOONE,CBO
Latino Communications Community Development Corporation,2010,"140 Wildwood Business Park, Columbia, SC 29223",SC,COLUMBIA,RICHLAND,CBO
Centro Esperanza Latina,2002,"2300 Sullivant Avenue, Columbus, OH, 43204",OH,COLUMBUS,FRANKLIN,CBO
Latino Empowerment Outreach Network,2000,"COLUMBUS , OH 43216",OH,COLUMBUS,FRANKLIN,Hybrid
Ohio Hispanic Coalition,1990,"100 East Campus View BLVD, Suite 130, Columbus, Ohio 43235",OH,COLUMBUS,FRANKLIN,CBO
Hispanic Learning Center of Cabarrus County,2010,"418 Kerr St NW, Concord, North Carolina 28025-4651",NC,CONCORD,CABARRUS,CBO
Arkansas Hispanic Health Coalition,2016,,AR,CONWAY,FAULKNER,Hybrid
Hispanic Coalition,1988,"5659 W Flagler St, Coral Gables, FL 33134",FL,CORAL GABLES,MIAMI-DADE,CBO
Alianza National Latino Alliance for Elimination of Domestic Violence,1997,,NM,CORRALES,SANDOVAL,CBO
Centro Latino of Iowa,2001,"604 S Main St, Council Bluffs, IA 51503-6059 ",IA,COUNCIL BLUFFS,POTTAWATTAMIE,Hybrid
Dallas Concilio of Hispanic Service Organizations,2002,"400 S Zang Blvd., Ste. 300, Dallas, TX 75208",TX,DALLAS,DALLAS,CBO
Hispanic 100,2005,"4447 N. Central Expressway, Suite 100-150 Dallas, Texas 75205",TX,DALLAS,DALLAS,Advocacy
Hispanic Families Network,2014,"Dallas, TX 75202",TX,DALLAS,DALLAS,CBO
Hispanic Center of Greater Danbury,1968,,CT,DANBURY,FAIRFIELD,CBO
Latino Scholarship Fund Inc,1995,"Danbury, CT 06813",CT,DANBURY,FAIRFIELD,CBO
Hispanic Awareness Organization,2011,,OH,DEFIANCE,DEFIANCE,CBO
Colorado Latino Forum,2009,,CO,DENVER,DENVER,Advocacy
"Colorado Latino Leadership, Advocacy and Research Organization",1964,,CO,DENVER,DENVER,Advocacy
