Name,F.year,Incorporated,Address,Website1,Website2,Website3,Contacted,Notes,"To Whom it May Concern: 
My name is Gregory Eng and I am a research assistant at UC Berkeley working for Professor Taeku Lee in our Political Science department. I am part of a project using databases to study the formation of Latinx professional organizations in the United States and am writing in the hopes that you could provide the founding year of the [XXX] to assist in our research.",Panethnic,Source,"Brief Explanation of my Method: 1. Organize the Excel/Numbers sheet by ""entity.name"" 2. Comb through, highlighting cells in green when entered 3. Highlight redundant Cells Orange 4. Highlight Extraneous Cells Pink Use blue if its redundant from the EA set. .. Use a template to send out email contacts-- vast majority lack an actual founding date"
Alliance Of Hispanic Law Enforcement,2009,1,"Elmwood Park, IL 60707-0189 USA",https://www.facebook.com/pg/allianceAHLE/about/?ref=page_internal,,,,,,,,
American Association of Hispanic Certified Public Accountants,1972,0,"Los Angeles, CA 90014-1321 USA",https://www.google.com/search?q=%22American+Association+of+Hispanic+Certified+Public+Accountants%22+founded&oq=%22American+Association+of+Hispanic+Certified+Public+Accountants%22+founded&aqs=chrome..69i57.1479j0j4&sourceid=chrome&ie=UTF-8,,,,,,,,
Arizona Hispanic Chamber of Commerce,1948,0,"Phoenix, AZ 85012 USA",info@azhcc.com,,,,,,,Encyclopedia of Associations,
Arizona Latino Media Association,1997,0,"Phoenix, AZ 85001-1168 USA",https://www.facebook.com/azlatinomedia/about/,,,,,,,,
Arlington Hispanic Chamber of Commerce,1998,1,301 South Center St. Ste. 500,http://hispanic-chamber.org,https://www.manta.com/c/mmc9srw/arlington-hispanic-chamber-of-commerce,,Yes,,,,Encyclopedia of Associations,
Asociacion Latina De Preparadores De Impuestos,2016,1,"Los Angeles, CA 90057-4920 USA",https://www.guidestar.org/profile/45-2937855,,,,,,,,
Asociacion Latino Americana De Cirujanos De Catarata Y Segmento,2001,1,"Montebello, CA 90640-3041 USA",https://www.guidestar.org/profile/95-4344878,,,,,,,,
Association of Latino Professionals For America,1972,0,"DeKalb, IL 60115 USA",https://www.alpfa.org/page/story, http://www.facebook.com/alpfaniu; http://www.twitter.com/ALPFANIU,http://www.twitter.com/ALPFANIU,Yes,,,,Encyclopedia of Associations,
Association of Latino Professionals in Finance and Accounting,1972,0,"Chicago, IL 60680-8450 USA",http://www.myalpfachicago.org,,,Yes,,,,Encyclopedia of Associations,
Association Of Retired Hispanic Police Inc,2000,1,"Tallman, NY 10982-0722 USA",https://www.guidestar.org/profile/11-3294853,,,,,,,,
Aurora Hispanic Chamber Of Commerce,1992,0,"Aurora, IL 60505-2256 USA",https://www.rasmussen.edu/about-rasmussen-college/news-center/hispanic-heritage-council-appoints-ed-miranda/,,,,,,,,
Brooklyn Kings County Hispanic Chamber of Commerce Inc,2007,1,Brooklyn Kings County Hispanic Chamber of Commerce Inc,https://www.guidestar.org/profile/20-2381186,,,,,,,,
Broward County Hispanic Bar Association,1989,0,"Fort Lauderdale, FL 33394 USA",http://browardhispanicbar.com/, , , ,,,,Encyclopedia of Associations,
California Hispanic Health Care Association,1991,0,"Sacramento, CA 95814-3477 USA",https://www.guidestar.org/profile/77-0266045,,,,,,,,
California Latino School Board Members Association,1991,1,"Moreno Valley, CA 92552-7624 USA",https://www.guidestar.org/profile/33-0324766,,,,,,,,
Camara De Comercio Latina Of Miami Beach Inc,1994,1,"Miami Beach, FL 33139-7736 USA",https://www.guidestar.org/profile/65-0288999,,,,,,,,
CCNMA: Latino Journalists of California,1972,0,"Santa Monica, CA 90401-1734 USA",http://ccnma.org; ,http://twitter.com/ccnma,,,,,,Encyclopedia of Associations,
Cen-Tex Hispanic Chamber of Commerce,1975,0,"Waco, TX 76701 USA",http://www.wacohispanicchamber.com,,,,,,,Encyclopedia of Associations,
Central California Hispanic Chamber of Commerce,1984,0,"Fresno, CA 93721 USA",http://www.cchcc.net,,,,,,,Encyclopedia of Associations,
Central Washington Hispanic Chamber Of Commerce,2011,1,"Yakima, WA 98909-0074 USA",https://www.guidestar.org/profile/26-3739660,,,,,,,,
